Date,State,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Year,Month,Day
01-01-2025,Andhra Pradesh,201,Poor,79.4,151.5,34.8,10.1,1.09,52.7,2025,January,1
01-01-2025,Arunachal Pradesh,124,Moderate,46.9,87.3,17.1,6.7,0.79,56.1,2025,January,1
01-01-2025,Assam,176,Moderate,75.3,127.8,25.6,9.6,1.03,51.2,2025,January,1
01-01-2025,Bihar,151,Moderate,69.2,117.5,25,8.4,0.81,62,2025,January,1
01-01-2025,Chhattisgarh,176,Moderate,69.2,120.7,25.9,9,0.9,52.3,2025,January,1
01-01-2025,Goa,153,Moderate,59.3,111.9,26.1,7.5,0.94,54.5,2025,January,1
01-01-2025,Gujarat,172,Moderate,70.1,122.8,29.3,8.5,0.99,58.8,2025,January,1
01-01-2025,Haryana,146,Moderate,60.5,113,20.5,7,0.83,55.8,2025,January,1
01-01-2025,Himachal Pradesh,202,Poor,85.4,147.4,30.3,9.7,1.09,52.5,2025,January,1
01-01-2025,Jharkhand,225,Poor,90.3,168.6,36.3,11.4,1.33,47,2025,January,1
01-01-2025,Karnataka,176,Moderate,79.6,127.7,28.7,8.9,0.91,60.1,2025,January,1
01-01-2025,Kerala,196,Moderate,82.5,137.3,28.5,10.6,1.07,49.7,2025,January,1
01-01-2025,Madhya Pradesh,124,Moderate,48.5,82.1,19.5,6.3,0.74,57.7,2025,January,1
01-01-2025,Maharashtra,169,Moderate,66.1,120.4,29.7,9.3,1.01,53.9,2025,January,1
01-01-2025,Manipur,200,Moderate,81.1,152.2,29.8,10.3,1.16,50.5,2025,January,1
01-01-2025,Meghalaya,151,Moderate,64.7,107.7,22.3,8.4,0.77,59.6,2025,January,1
01-01-2025,Mizoram,183,Moderate,80.5,137.8,30.3,9.3,0.96,59.2,2025,January,1
01-01-2025,Nagaland,202,Poor,87.6,153.5,31.5,10.1,1.09,58.4,2025,January,1
01-01-2025,Odisha,169,Moderate,68.7,121.8,27.7,8.7,0.92,54.8,2025,January,1
01-01-2025,Punjab,233,Poor,99.4,162.7,39.4,11.9,1.25,47.5,2025,January,1
01-01-2025,Rajasthan,127,Moderate,56.2,91.3,18.4,6.4,0.62,56.7,2025,January,1
01-01-2025,Sikkim,191,Moderate,84.3,139.8,32.7,8.6,1.08,57.8,2025,January,1
01-01-2025,Tamil Nadu,189,Moderate,80.5,132.8,29,9.8,1.07,51.8,2025,January,1
01-01-2025,Telangana,141,Moderate,61.1,102.7,22.2,7.6,0.8,60.4,2025,January,1
01-01-2025,Tripura,184,Moderate,82.1,131.7,31.9,10.2,0.93,50.5,2025,January,1
01-01-2025,Uttar Pradesh,220,Poor,95.3,167.8,35.7,11.1,1.26,54.4,2025,January,1
01-01-2025,Uttarakhand,135,Moderate,60.6,103.7,21,6.4,0.66,55.1,2025,January,1
01-01-2025,West Bengal,160,Moderate,64.7,121.4,28.1,8.9,0.87,57.6,2025,January,1
02-01-2025,Andhra Pradesh,171,Moderate,68.9,119.9,26.6,9.1,0.86,59.7,2025,January,2
02-01-2025,Arunachal Pradesh,144,Moderate,62.9,112,20.7,6.7,0.72,58.4,2025,January,2
02-01-2025,Assam,219,Poor,93.5,154,35.9,10,1.25,57.2,2025,January,2
02-01-2025,Bihar,156,Moderate,63.2,111,23,8.3,0.95,58,2025,January,2
02-01-2025,Chhattisgarh,176,Moderate,72.2,119.4,26,9,0.92,51.2,2025,January,2
02-01-2025,Goa,161,Moderate,72.2,115.3,23.9,7.5,0.95,53.2,2025,January,2
02-01-2025,Gujarat,172,Moderate,77.2,116.8,28.6,9.2,0.9,55.4,2025,January,2
02-01-2025,Haryana,143,Moderate,60.7,100.5,23.6,6.6,0.7,62.6,2025,January,2
02-01-2025,Himachal Pradesh,195,Moderate,79.8,140.2,30.5,8.9,1.04,49.6,2025,January,2
02-01-2025,Jharkhand,212,Poor,93.6,148,35.9,10.9,1.1,48.8,2025,January,2
02-01-2025,Karnataka,138,Moderate,60.2,92.1,20,7.4,0.79,63.4,2025,January,2
02-01-2025,Kerala,181,Moderate,76.6,124.4,29.9,9.2,1.04,51.2,2025,January,2
02-01-2025,Madhya Pradesh,131,Moderate,51.5,91.6,19.8,7,0.73,56.2,2025,January,2
02-01-2025,Maharashtra,204,Poor,82,141.3,32.9,9.8,1.23,55.1,2025,January,2
